"filename", "language", "toml", "Python", "YAML", "Ini", "Shell Script", "Markdown", "comment", "blank", "total"
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_user_array/__init__.py", "Python", 0, 17, 0, 0, 0, 0, 6, 7, 30
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_user_array/content/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_user_array/content/application_json/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_user_array/content/application_json/schema.py", "Python", 0, 38, 0, 0, 0, 0, 9, 13, 60
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/schema/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 5, 1, 6
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/schema/api_response.py", "Python", 0, 78, 0, 0, 0, 0, 17, 21, 116
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/schema/category.py", "Python", 0, 77, 0, 0, 0, 0, 17, 23, 117
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/schema/order.py", "Python", 0, 135, 0, 0, 0, 0, 17, 38, 190
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/schema/pet.py", "Python", 0, 188, 0, 0, 0, 0, 17, 50, 255
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/schema/tag.py", "Python", 0, 68, 0, 0, 0, 0, 17, 19, 104
"/Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/schema/user.py", "Python", 0, 128, 0, 0, 0, 0, 17, 31, 176
